episode,asset,method,mapping,target_far,k,tau,control_far,first_alarm,lead_days,event_alarm_rate,n_event_windows,n_control_windows
COVID,GOLD,dagmm,exponential,0.1,1,2.602741,0.0938,,,0.0,146,128
COVID,GOLD,dagmm,exponential,0.1,2,-1.024184,0.0938,2020-02-24,-2.0,0.0205,146,128
COVID,GOLD,dagmm,exponential,0.1,3,-2.56184,0.0859,2020-02-25,-3.0,0.0205,146,128
COVID,GOLD,dagmm,exponential,0.2,1,-0.221478,0.1953,2020-02-24,-2.0,0.0205,146,128
COVID,GOLD,dagmm,exponential,0.2,2,-2.823759,0.1953,2020-02-24,-2.0,0.0274,146,128
COVID,GOLD,dagmm,exponential,0.2,3,-4.206912,0.1875,2020-02-21,-1.0,0.0753,146,128
COVID,GOLD,deep_svdd,exponential,0.05,1,0.00107,0.0469,2020-03-05,-10.0,0.2808,146,128
COVID,GOLD,deep_svdd,exponential,0.05,2,0.000857,0.0391,2020-03-06,-11.0,0.3014,146,128
COVID,GOLD,deep_svdd,exponential,0.05,3,0.000648,0.0469,2020-02-14,3.0,0.3219,146,128
COVID,GOLD,deep_svdd,exponential,0.1,1,0.000832,0.0938,2020-02-28,-6.0,0.3562,146,128
COVID,GOLD,deep_svdd,exponential,0.1,2,0.000648,0.0938,2020-02-13,4.0,0.3699,146,128
COVID,GOLD,deep_svdd,exponential,0.1,3,0.000531,0.0938,2020-02-14,3.0,0.4658,146,128
COVID,GOLD,deep_svdd,exponential,0.2,1,0.000621,0.1953,2020-02-10,7.0,0.4863,146,128
COVID,GOLD,deep_svdd,exponential,0.2,2,0.000505,0.1875,2020-02-10,7.0,0.5274,146,128
COVID,GOLD,deep_svdd,exponential,0.2,3,0.000438,0.1953,2020-02-11,6.0,0.5822,146,128
COVID,GOLD,hybrid2,arccosh,0.05,1,0.160799,0.0469,,,0.0,146,128
COVID,GOLD,hybrid2,arccosh,0.05,2,0.153976,0.0469,,,0.0,146,128
COVID,GOLD,hybrid2,arccosh,0.05,3,0.153085,0.0469,,,0.0,146,128
COVID,GOLD,hybrid2,arccosh,0.1,1,0.153085,0.0938,,,0.0,146,128
COVID,GOLD,hybrid2,arccosh,0.1,2,0.149898,0.0938,,,0.0,146,128
COVID,GOLD,hybrid2,arccosh,0.1,3,0.145326,0.0938,,,0.0,146,128
COVID,GOLD,hybrid2,arccosh,0.2,1,0.141804,0.1953,,,0.0,146,128
COVID,GOLD,hybrid2,arccosh,0.2,2,0.134414,0.1875,,,0.0,146,128
COVID,GOLD,hybrid2,arccosh,0.2,3,0.124988,0.1953,,,0.0,146,128
COVID,GOLD,hybrid2,arctan,0.05,1,0.015942,0.0469,2020-03-12,-15.0,0.2603,146,128
COVID,GOLD,hybrid2,arctan,0.05,2,0.01355,0.0469,2020-03-12,-15.0,0.2534,146,128
COVID,GOLD,hybrid2,arctan,0.05,3,0.011906,0.0469,2020-03-13,-16.0,0.2466,146,128
COVID,GOLD,hybrid2,arctan,0.1,1,0.014356,0.0938,2020-03-12,-15.0,0.274,146,128
COVID,GOLD,hybrid2,arctan,0.1,2,0.012364,0.0938,2020-03-12,-15.0,0.2671,146,128
COVID,GOLD,hybrid2,arctan,0.1,3,0.01108,0.0859,2020-03-04,-9.0,0.2945,146,128
COVID,GOLD,hybrid2,arctan,0.2,1,0.012499,0.1953,2020-03-04,-9.0,0.3151,146,128
COVID,GOLD,hybrid2,arctan,0.2,2,0.010912,0.1953,2020-03-02,-7.0,0.3562,146,128
COVID,GOLD,hybrid2,arctan,0.2,3,0.010258,0.1953,2020-03-03,-8.0,0.3288,146,128
COVID,GOLD,hybrid2,cosine,0.05,1,0.2029,0.0469,2020-03-25,-24.0,0.0753,146,128
COVID,GOLD,hybrid2,cosine,0.05,2,0.180672,0.0469,2020-03-25,-24.0,0.0753,146,128
COVID,GOLD,hybrid2,cosine,0.05,3,0.153796,0.0469,2020-03-26,-25.0,0.0685,146,128
COVID,GOLD,hybrid2,cosine,0.1,1,0.1673,0.0938,2020-03-24,-23.0,0.0822,146,128
COVID,GOLD,hybrid2,cosine,0.1,2,0.153588,0.0938,2020-03-25,-24.0,0.0753,146,128
COVID,GOLD,hybrid2,cosine,0.1,3,0.148945,0.0781,2020-03-26,-25.0,0.0685,146,128
COVID,GOLD,hybrid2,cosine,0.2,1,0.148945,0.1953,2020-03-24,-23.0,0.0959,146,128
COVID,GOLD,hybrid2,cosine,0.2,2,0.140551,0.1953,2020-03-25,-24.0,0.0753,146,128
COVID,GOLD,hybrid2,cosine,0.2,3,0.135436,0.1797,2020-03-26,-25.0,0.0685,146,128
COVID,GOLD,hybrid2,exponential,0.05,1,0.260787,0.0469,2020-03-02,-7.0,0.1644,146,128
COVID,GOLD,hybrid2,exponential,0.05,2,0.230898,0.0469,2020-03-25,-24.0,0.1781,146,128
COVID,GOLD,hybrid2,exponential,0.05,3,0.226946,0.0469,2020-03-26,-25.0,0.1438,146,128
COVID,GOLD,hybrid2,exponential,0.1,1,0.230898,0.0938,2020-03-02,-7.0,0.2192,146,128
COVID,GOLD,hybrid2,exponential,0.1,2,0.205688,0.0938,2020-03-03,-8.0,0.2055,146,128
COVID,GOLD,hybrid2,exponential,0.1,3,0.199403,0.0938,2020-03-04,-9.0,0.2055,146,128
COVID,GOLD,hybrid2,exponential,0.2,1,0.195101,0.1953,2020-03-02,-7.0,0.2808,146,128
COVID,GOLD,hybrid2,exponential,0.2,2,0.175812,0.1953,2020-03-02,-7.0,0.3082,146,128
COVID,GOLD,hybrid2,exponential,0.2,3,0.169319,0.1953,2020-03-03,-8.0,0.2945,146,128
COVID,GOLD,isolation_forest,exponential,0.05,1,0.584438,0.0469,2020-02-24,-2.0,0.0137,146,128
COVID,GOLD,isolation_forest,exponential,0.05,2,0.575674,0.0469,2020-02-24,-2.0,0.0205,146,128
COVID,GOLD,isolation_forest,exponential,0.05,3,0.57226,0.0469,2020-02-25,-3.0,0.0068,146,128
COVID,GOLD,isolation_forest,exponential,0.1,1,0.573041,0.0938,2020-02-21,-1.0,0.0342,146,128
COVID,GOLD,isolation_forest,exponential,0.1,2,0.56355,0.0859,2020-02-24,-2.0,0.0342,146,128
COVID,GOLD,isolation_forest,exponential,0.1,3,0.551293,0.0938,2020-02-25,-3.0,0.0616,146,128
COVID,GOLD,isolation_forest,exponential,0.2,1,0.540819,0.1953,2020-02-20,0.0,0.1301,146,128
COVID,GOLD,isolation_forest,exponential,0.2,2,0.536837,0.1953,2020-02-21,-1.0,0.1233,146,128
COVID,GOLD,isolation_forest,exponential,0.2,3,0.526657,0.1797,2020-02-21,-1.0,0.1438,146,128
COVID,GOLD,omnianomaly,exponential,0.05,1,0.356873,0.0469,2020-01-16,23.0,0.3356,146,128
COVID,GOLD,omnianomaly,exponential,0.05,2,0.336042,0.0469,2020-01-17,22.0,0.3562,146,128
COVID,GOLD,omnianomaly,exponential,0.05,3,0.264316,0.0391,2020-01-21,21.0,0.589,146,128
COVID,GOLD,omnianomaly,exponential,0.1,1,0.271164,0.0938,2020-01-16,23.0,0.6438,146,128
