brier,reliability,resolution,uncertainty,base_rate,n,episode,asset,method,mapping,kind
0.20135999999999998,0.028962871794871795,0.0773948717948718,0.2496,0.52,125,Russia-Ukraine,USOIL,dagmm,exponential,model
0.303632,0.07406851282051281,0.02042051282051282,0.2496,0.52,125,Russia-Ukraine,USOIL,dagmm,exponential,random
0.24959999999999993,1.232595164407831e-32,0.0,0.2496,0.52,125,Russia-Ukraine,USOIL,dagmm,exponential,constant
0.26318400000000003,0.03653292307692308,0.024676923076923075,0.2496,0.52,125,Russia-Ukraine,GOLD,dagmm,exponential,model
0.31783999999999996,0.09693497435897437,0.03195897435897435,0.2496,0.52,125,Russia-Ukraine,GOLD,dagmm,exponential,random
0.24959999999999993,1.232595164407831e-32,0.0,0.2496,0.52,125,Russia-Ukraine,GOLD,dagmm,exponential,constant
0.34054733727810654,0.10823964497041413,0.017988165680473372,0.24994082840236687,0.5076923076923077,130,Russia-Ukraine,EURUSD,dagmm,exponential,model
0.3465828402366864,0.12149408284023666,0.025088757396449703,0.24994082840236687,0.5076923076923077,130,Russia-Ukraine,EURUSD,dagmm,exponential,random
0.2499408284023669,0.0,0.0,0.24994082840236687,0.5076923076923077,130,Russia-Ukraine,EURUSD,dagmm,exponential,constant
0.18612800000000002,0.00788389743589743,0.07103589743589746,0.2496,0.52,125,Russia-Ukraine,USOIL,deep_svdd,exponential,model
0.332048,0.09117620512820511,0.008728205128205128,0.2496,0.52,125,Russia-Ukraine,USOIL,deep_svdd,exponential,random
0.24959999999999993,1.232595164407831e-32,0.0,0.2496,0.52,125,Russia-Ukraine,USOIL,deep_svdd,exponential,constant
0.399888,0.1890945641025641,0.03970256410256411,0.2496,0.52,125,Russia-Ukraine,GOLD,deep_svdd,exponential,model
0.31400000000000006,0.09639425641025641,0.030010256410256418,0.2496,0.52,125,Russia-Ukraine,GOLD,deep_svdd,exponential,random
0.24959999999999993,1.232595164407831e-32,0.0,0.2496,0.52,125,Russia-Ukraine,GOLD,deep_svdd,exponential,constant
0.3930917159763313,0.15392011834319522,0.014437869822485206,0.24994082840236687,0.5076923076923077,130,Russia-Ukraine,EURUSD,deep_svdd,exponential,model
0.3091863905325444,0.06871301775147928,0.006153846153846152,0.24994082840236687,0.5076923076923077,130,Russia-Ukraine,EURUSD,deep_svdd,exponential,random
0.2499408284023669,0.0,0.0,0.24994082840236687,0.5076923076923077,130,Russia-Ukraine,EURUSD,deep_svdd,exponential,constant
0.16052800000000003,0.0564631794871795,0.1450871794871795,0.2496,0.52,125,Russia-Ukraine,USOIL,hybrid2,arccosh,model
0.3171999999999999,0.08352205128205126,0.016882051282051284,0.2496,0.52,125,Russia-Ukraine,USOIL,hybrid2,arccosh,random
0.24959999999999993,1.232595164407831e-32,0.0,0.2496,0.52,125,Russia-Ukraine,USOIL,hybrid2,arccosh,constant
0.359568,0.1260377435897436,0.013189743589743588,0.2496,0.52,125,Russia-Ukraine,GOLD,hybrid2,arccosh,model
0.35060800000000003,0.10886810256410254,0.010164102564102565,0.2496,0.52,125,Russia-Ukraine,GOLD,hybrid2,arccosh,random
0.24959999999999993,1.232595164407831e-32,0.0,0.2496,0.52,125,Russia-Ukraine,GOLD,hybrid2,arccosh,constant
0.3797189349112426,0.15344674556213017,0.026272189349112428,0.24994082840236687,0.5076923076923077,130,Russia-Ukraine,EURUSD,hybrid2,arccosh,model
0.32599112426035504,0.0974704142011834,0.017988165680473372,0.24994082840236687,0.5076923076923077,130,Russia-Ukraine,EURUSD,hybrid2,arccosh,random
0.2499408284023669,0.0,0.0,0.24994082840236687,0.5076923076923077,130,Russia-Ukraine,EURUSD,hybrid2,arccosh,constant
0.192912,0.018004102564102568,0.07616410256410257,0.2496,0.52,125,Russia-Ukraine,USOIL,hybrid2,arctan,model
0.32539199999999996,0.09981661538461538,0.02498461538461538,0.2496,0.52,125,Russia-Ukraine,USOIL,hybrid2,arctan,random
0.24959999999999993,1.232595164407831e-32,0.0,0.2496,0.52,125,Russia-Ukraine,USOIL,hybrid2,arctan,constant
0.408336,0.2289813333333334,0.07293333333333334,0.2496,0.52,125,Russia-Ukraine,GOLD,hybrid2,arctan,model
0.34766400000000003,0.11762502564102563,0.019241025641025637,0.2496,0.52,125,Russia-Ukraine,GOLD,hybrid2,arctan,random
0.24959999999999993,1.232595164407831e-32,0.0,0.2496,0.52,125,Russia-Ukraine,GOLD,hybrid2,arctan,constant
0.3959319526627219,0.18658284023668634,0.04402366863905326,0.24994082840236687,0.5076923076923077,130,Russia-Ukraine,EURUSD,hybrid2,arctan,model
0.3274112426035503,0.08847633136094675,0.012071005917159766,0.24994082840236687,0.5076923076923077,130,Russia-Ukraine,EURUSD,hybrid2,arctan,random
0.2499408284023669,0.0,0.0,0.24994082840236687,0.5076923076923077,130,Russia-Ukraine,EURUSD,hybrid2,arctan,constant
0.16859200000000002,0.01721189743589743,0.10103589743589746,0.2496,0.52,125,Russia-Ukraine,USOIL,hybrid2,cosine,model
0.35713599999999995,0.11544533333333334,0.008933333333333333,0.2496,0.52,125,Russia-Ukraine,USOIL,hybrid2,cosine,random
0.24959999999999993,1.232595164407831e-32,0.0,0.2496,0.52,125,Russia-Ukraine,USOIL,hybrid2,cosine,constant
0.3673759999999999,0.14602502564102565,0.033241025641025636,0.2496,0.52,125,Russia-Ukraine,GOLD,hybrid2,cosine,model
0.303376,0.06363733333333331,0.012933333333333335,0.2496,0.52,125,Russia-Ukraine,GOLD,hybrid2,cosine,random
0.24959999999999993,1.232595164407831e-32,0.0,0.2496,0.52,125,Russia-Ukraine,GOLD,hybrid2,cosine,constant
0.3642159763313609,0.14350591715976332,0.028639053254437875,0.24994082840236687,0.5076923076923077,130,Russia-Ukraine,EURUSD,hybrid2,cosine,model
0.3319082840236686,0.11036982248520708,0.02627218934911242,0.24994082840236687,0.5076923076923077,130,Russia-Ukraine,EURUSD,hybrid2,cosine,random
0.2499408284023669,0.0,0.0,0.24994082840236687,0.5076923076923077,130,Russia-Ukraine,EURUSD,hybrid2,cosine,constant
0.174864,0.0350916923076923,0.10790769230769232,0.2496,0.52,125,Russia-Ukraine,USOIL,hybrid2,exponential,model
0.3136160000000002,0.09420184615384616,0.03575384615384616,0.2496,0.52,125,Russia-Ukraine,USOIL,hybrid2,exponential,random
0.24959999999999993,1.232595164407831e-32,0.0,0.2496,0.52,125,Russia-Ukraine,USOIL,hybrid2,exponential,constant
0.34279999999999994,0.10403282051282048,0.012112820512820517,0.2496,0.52,125,Russia-Ukraine,GOLD,hybrid2,exponential,model
0.34471999999999997,0.12457805128205131,0.02888205128205128,0.2496,0.52,125,Russia-Ukraine,GOLD,hybrid2,exponential,random
0.24959999999999993,1.232595164407831e-32,0.0,0.2496,0.52,125,Russia-Ukraine,GOLD,hybrid2,exponential,constant
0.3756952662721893,0.1657544378698225,0.041656804733727806,0.24994082840236687,0.5076923076923077,130,Russia-Ukraine,EURUSD,hybrid2,exponential,model
0.35557692307692307,0.10989644970414199,0.0073372781065088755,0.24994082840236687,0.5076923076923077,130,Russia-Ukraine,EURUSD,hybrid2,exponential,random
0.2499408284023669,0.0,0.0,0.24994082840236687,0.5076923076923077,130,Russia-Ukraine,EURUSD,hybrid2,exponential,constant
0.157584,0.05535015384615385,0.14544615384615386,0.2496,0.52,125,Russia-Ukraine,USOIL,isolation_forest,exponential,model
0.38222400000000006,0.14842215384615384,0.019446153846153846,0.2496,0.52,125,Russia-Ukraine,USOIL,isolation_forest,exponential,random
0.24959999999999993,1.232595164407831e-32,0.0,0.2496,0.52,125,Russia-Ukraine,USOIL,isolation_forest,exponential,constant
0.25448,0.06620430769230769,0.05729230769230769,0.2496,0.52,125,Russia-Ukraine,GOLD,isolation_forest,exponential,model
0.30696,0.07146297435897435,0.015958974358974358,0.2496,0.52,125,Russia-Ukraine,GOLD,isolation_forest,exponential,random
0.24959999999999993,1.232595164407831e-32,0.0,0.2496,0.52,125,Russia-Ukraine,GOLD,isolation_forest,exponential,constant
0.35545857988165686,0.1288313609467455,0.026272189349112424,0.24994082840236687,0.5076923076923077,130,Russia-Ukraine,EURUSD,isolation_forest,exponential,model
0.35226331360946744,0.11309171597633133,0.012071005917159762,0.24994082840236687,0.5076923076923077,130,Russia-Ukraine,EURUSD,isolation_forest,exponential,random
0.2499408284023669,0.0,0.0,0.24994082840236687,0.5076923076923077,130,Russia-Ukraine,EURUSD,isolation_forest,exponential,constant
0.183824,0.04365497435897434,0.10795897435897436,0.2496,0.52,125,Russia-Ukraine,USOIL,omnianomaly,exponential,model
0.33230400000000004,0.10229620512820514,0.02272820512820513,0.2496,0.52,125,Russia-Ukraine,USOIL,omnianomaly,exponential,random
0.24959999999999993,1.232595164407831e-32,0.0,0.2496,0.52,125,Russia-Ukraine,USOIL,omnianomaly,exponential,constant
0.26343999999999995,0.05623794871794872,0.044317948717948724,0.2496,0.52,125,Russia-Ukraine,GOLD,omnianomaly,exponential,model
0.33640000000000003,0.09960697435897434,0.013958974358974358,0.2496,0.52,125,Russia-Ukraine,GOLD,omnianomaly,exponential,random
0.24959999999999993,1.232595164407831e-32,0.0,0.2496,0.52,125,Russia-Ukraine,GOLD,omnianomaly,exponential,constant
0.3281213017751479,0.11214497041420116,0.0357396449704142,0.24994082840236687,0.5076923076923077,130,Russia-Ukraine,EURUSD,omnianomaly,exponential,model
0.3391272189349112,0.1058727810650887,0.015621301775147924,0.24994082840236687,0.5076923076923077,130,Russia-Ukraine,EURUSD,omnianomaly,exponential,random
0.2499408284023669,0.0,0.0,0.24994082840236687,0.5076923076923077,130,Russia-Ukraine,EURUSD,omnianomaly,exponential,constant
0.16270400000000002,0.04295876923076923,0.12883076923076925,0.2496,0.52,125,Russia-Ukraine,USOIL,one_class_svm,exponential,model
0.375952,0.15841723076923078,0.03436923076923077,0.2496,0.52,125,Russia-Ukraine,USOIL,one_class_svm,exponential,random
0.24959999999999993,1.232595164407831e-32,0.0,0.2496,0.52,125,Russia-Ukraine,USOIL,one_class_svm,exponential,constant
0.35816,0.14761764102564104,0.03662564102564103,0.2496,0.52,125,Russia-Ukraine,GOLD,one_class_svm,exponential,model
0.317712,0.08769682051282049,0.018112820512820513,0.2496,0.52,125,Russia-Ukraine,GOLD,one_class_svm,exponential,random
0.24959999999999993,1.232595164407831e-32,0.0,0.2496,0.52,125,Russia-Ukraine,GOLD,one_class_svm,exponential,constant
0.34374260355029584,0.12042899408284022,0.02863905325443787,0.24994082840236687,0.5076923076923077,130,Russia-Ukraine,EURUSD,one_class_svm,exponential,model
0.36717455621301776,0.13948224852071003,0.021538461538461538,0.24994082840236687,0.5076923076923077,130,Russia-Ukraine,EURUSD,one_class_svm,exponential,random
0.2499408284023669,0.0,0.0,0.24994082840236687,0.5076923076923077,130,Russia-Ukraine,EURUSD,one_class_svm,exponential,constant
0.16052800000000003,0.0564631794871795,0.1450871794871795,0.2496,0.52,125,Russia-Ukraine,USOIL,standalone_fanogan,arccosh,model
0.34792,0.12920697435897438,0.03395897435897436,0.2496,0.52,125,Russia-Ukraine,USOIL,standalone_fanogan,arccosh,random
0.24959999999999993,1.232595164407831e-32,0.0,0.2496,0.52,125,Russia-Ukraine,USOIL,standalone_fanogan,arccosh,constant
0.359568,0.1260377435897436,0.013189743589743588,0.2496,0.52,125,Russia-Ukraine,GOLD,standalone_fanogan,arccosh,model
0.3521439999999999,0.1290707692307692,0.028830769230769233,0.2496,0.52,125,Russia-Ukraine,GOLD,standalone_fanogan,arccosh,random
0.24959999999999993,1.232595164407831e-32,0.0,0.2496,0.52,125,Russia-Ukraine,GOLD,standalone_fanogan,arccosh,constant
0.3797189349112426,0.15344674556213017,0.026272189349112428,0.24994082840236687,0.5076923076923077,130,Russia-Ukraine,EURUSD,standalone_fanogan,arccosh,model
0.2940384615384615,0.06800295857988162,0.02390532544378698,0.24994082840236687,0.5076923076923077,130,Russia-Ukraine,EURUSD,standalone_fanogan,arccosh,random
0.2499408284023669,0.0,0.0,0.24994082840236687,0.5076923076923077,130,Russia-Ukraine,EURUSD,standalone_fanogan,arccosh,constant
0.192912,0.018004102564102568,0.07616410256410257,0.2496,0.52,125,Russia-Ukraine,USOIL,standalone_fanogan,arctan,model
0.349712,0.10960656410256411,0.007702564102564102,0.2496,0.52,125,Russia-Ukraine,USOIL,standalone_fanogan,arctan,random
0.24959999999999993,1.232595164407831e-32,0.0,0.2496,0.52,125,Russia-Ukraine,USOIL,standalone_fanogan,arctan,constant
0.408336,0.2289813333333334,0.07293333333333334,0.2496,0.52,125,Russia-Ukraine,GOLD,standalone_fanogan,arctan,model
0.3256480000000001,0.08687138461538461,0.014215384615384616,0.2496,0.52,125,Russia-Ukraine,GOLD,standalone_fanogan,arctan,random
0.24959999999999993,1.232595164407831e-32,0.0,0.2496,0.52,125,Russia-Ukraine,GOLD,standalone_fanogan,arctan,constant
0.3959319526627219,0.18658284023668634,0.04402366863905326,0.24994082840236687,0.5076923076923077,130,Russia-Ukraine,EURUSD,standalone_fanogan,arctan,model
0.34587278106508873,0.10894970414201179,0.015621301775147927,0.24994082840236687,0.5076923076923077,130,Russia-Ukraine,EURUSD,standalone_fanogan,arctan,random
0.2499408284023669,0.0,0.0,0.24994082840236687,0.5076923076923077,130,Russia-Ukraine,EURUSD,standalone_fanogan,arctan,constant
0.16859200000000002,0.01721189743589743,0.10103589743589746,0.2496,0.52,125,Russia-Ukraine,USOIL,standalone_fanogan,cosine,model
0.365584,0.14043487179487177,0.027394871794871805,0.2496,0.52,125,Russia-Ukraine,USOIL,standalone_fanogan,cosine,random
0.24959999999999993,1.232595164407831e-32,0.0,0.2496,0.52,125,Russia-Ukraine,USOIL,standalone_fanogan,cosine,constant
0.3673759999999999,0.14602502564102565,0.033241025641025636,0.2496,0.52,125,Russia-Ukraine,GOLD,standalone_fanogan,cosine,model
0.2908319999999999,0.06063015384615385,0.021446153846153847,0.2496,0.52,125,Russia-Ukraine,GOLD,standalone_fanogan,cosine,random
0.24959999999999993,1.232595164407831e-32,0.0,0.2496,0.52,125,Russia-Ukraine,GOLD,standalone_fanogan,cosine,constant
0.3642159763313609,0.14350591715976332,0.028639053254437875,0.24994082840236687,0.5076923076923077,130,Russia-Ukraine,EURUSD,standalone_fanogan,cosine,model
0.3625591715976331,0.1294230769230769,0.01917159763313609,0.24994082840236687,0.5076923076923077,130,Russia-Ukraine,EURUSD,standalone_fanogan,cosine,random
0.2499408284023669,0.0,0.0,0.24994082840236687,0.5076923076923077,130,Russia-Ukraine,EURUSD,standalone_fanogan,cosine,constant
0.174864,0.0350916923076923,0.10790769230769232,0.2496,0.52,125,Russia-Ukraine,USOIL,standalone_fanogan,exponential,model
0.28750400000000004,0.07347610256410254,0.034164102564102565,0.2496,0.52,125,Russia-Ukraine,USOIL,standalone_fanogan,exponential,random
0.24959999999999993,1.232595164407831e-32,0.0,0.2496,0.52,125,Russia-Ukraine,USOIL,standalone_fanogan,exponential,constant
0.34279999999999994,0.10403282051282048,0.012112820512820517,0.2496,0.52,125,Russia-Ukraine,GOLD,standalone_fanogan,exponential,model
0.31732799999999994,0.08126564102564103,0.014625641025641024,0.2496,0.52,125,Russia-Ukraine,GOLD,standalone_fanogan,exponential,random
0.24959999999999993,1.232595164407831e-32,0.0,0.2496,0.52,125,Russia-Ukraine,GOLD,standalone_fanogan,exponential,constant
0.3756952662721893,0.1657544378698225,0.041656804733727806,0.24994082840236687,0.5076923076923077,130,Russia-Ukraine,EURUSD,standalone_fanogan,exponential,model
0.313801775147929,0.08610946745562129,0.025088757396449703,0.24994082840236687,0.5076923076923077,130,Russia-Ukraine,EURUSD,standalone_fanogan,exponential,random
0.2499408284023669,0.0,0.0,0.24994082840236687,0.5076923076923077,130,Russia-Ukraine,EURUSD,standalone_fanogan,exponential,constant
