pipeline,dataset,asset,method,accuracy,precision,recall,f1,auc,tp,fp,tn,fn,n_test_total,n_test_crash,n_test_normal,threshold,source_file
Hybrid TadGAN-GAF-f-AnoGAN,US5Y,US Treasury yield 5 year,exponential,0.685,0.0,0.0,0.0,0.8503070327887845,0.0,0.0,137.0,63.0,200,63,137,0.1479014620184898,D:\tadgan_gaf\gaf\githup_exchange_ring\output\03_bond_anomaly\bond_3m_1y_5y_10y_20y_compare_e20_daily\hybrid\US5Y_BOND_COVID200_daily\hybrid_four_gaf_report.xlsx
Hybrid TadGAN-GAF-f-AnoGAN,US5Y,US Treasury yield 5 year,arctan,0.725,1.0,0.126984126984127,0.2253521126760563,0.8387208898157803,8.0,0.0,137.0,55.0,200,63,137,0.05780734103173017,D:\tadgan_gaf\gaf\githup_exchange_ring\output\03_bond_anomaly\bond_3m_1y_5y_10y_20y_compare_e20_daily\hybrid\US5Y_BOND_COVID200_daily\hybrid_four_gaf_report.xlsx
Hybrid TadGAN-GAF-f-AnoGAN,US5Y,US Treasury yield 5 year,arccosh,0.73,0.9090909090909091,0.1587301587301587,0.2702702702702703,0.8706986444212722,10.0,1.0,136.0,53.0,200,63,137,0.07493799850344657,D:\tadgan_gaf\gaf\githup_exchange_ring\output\03_bond_anomaly\bond_3m_1y_5y_10y_20y_compare_e20_daily\hybrid\US5Y_BOND_COVID200_daily\hybrid_four_gaf_report.xlsx
Hybrid TadGAN-GAF-f-AnoGAN,US5Y,US Treasury yield 5 year,ensemble,0.705,0.6111111111111112,0.1746031746031746,0.2716049382716049,0.8740586258834435,11.0,7.0,130.0,52.0,200,63,137,1.366698417672644,D:\tadgan_gaf\gaf\githup_exchange_ring\output\03_bond_anomaly\bond_3m_1y_5y_10y_20y_compare_e20_daily\hybrid\US5Y_BOND_COVID200_daily\hybrid_four_gaf_report.xlsx
CNN autoencoder,US10Y,US Treasury yield 10 year,cosine,0.7,0.0,0.0,0.0,0.4697245322245322,,,,,200,52,148,0.0630855336785316,D:\tadgan_gaf\gaf\githup_exchange_ring\output\03_bond_anomaly\bond_3m_1y_5y_10y_20y_compare_e20_daily\cnn_autoencoder\US10Y_BOND_COVID200_daily_CNN_AE\cnn_performance.csv
CNN autoencoder,US10Y,US Treasury yield 10 year,exponential,0.68,0.0,0.0,0.0,0.3952702702702703,,,,,200,52,148,0.0851289555430412,D:\tadgan_gaf\gaf\githup_exchange_ring\output\03_bond_anomaly\bond_3m_1y_5y_10y_20y_compare_e20_daily\cnn_autoencoder\US10Y_BOND_COVID200_daily_CNN_AE\cnn_performance.csv
CNN autoencoder,US10Y,US Treasury yield 10 year,arccosh,0.625,0.0,0.0,0.0,0.395010395010395,,,,,200,52,148,0.0292334258556365,D:\tadgan_gaf\gaf\githup_exchange_ring\output\03_bond_anomaly\bond_3m_1y_5y_10y_20y_compare_e20_daily\cnn_autoencoder\US10Y_BOND_COVID200_daily_CNN_AE\cnn_performance.csv
CNN autoencoder,US10Y,US Treasury yield 10 year,arctan,0.63,0.0,0.0,0.0,0.3239345114345114,,,,,200,52,148,0.0146827055141329,D:\tadgan_gaf\gaf\githup_exchange_ring\output\03_bond_anomaly\bond_3m_1y_5y_10y_20y_compare_e20_daily\cnn_autoencoder\US10Y_BOND_COVID200_daily_CNN_AE\cnn_performance.csv
f-AnoGAN standalone,US10Y,US Treasury yield 10 year,arccosh,0.585,0.0303030303030303,0.0192307692307692,0.0235294117647058,0.3011954261954262,,,,,200,52,148,0.0747872859239578,D:\tadgan_gaf\gaf\githup_exchange_ring\output\03_bond_anomaly\bond_3m_1y_5y_10y_20y_compare_e20_daily\standalone_fanogan\US10Y_BOND_COVID200_daily\out_put_four_gaf_fanogan\comparison_summary.csv
f-AnoGAN standalone,US10Y,US Treasury yield 10 year,exponential,0.655,0.0,0.0,0.0,0.3768191268191268,,,,,200,52,148,0.3361839413642883,D:\tadgan_gaf\gaf\githup_exchange_ring\output\03_bond_anomaly\bond_3m_1y_5y_10y_20y_compare_e20_daily\standalone_fanogan\US10Y_BOND_COVID200_daily\out_put_four_gaf_fanogan\comparison_summary.csv
f-AnoGAN standalone,US10Y,US Treasury yield 10 year,cosine,0.645,0.0,0.0,0.0,0.3006756756756756,,,,,200,52,148,0.1667025953531265,D:\tadgan_gaf\gaf\githup_exchange_ring\output\03_bond_anomaly\bond_3m_1y_5y_10y_20y_compare_e20_daily\standalone_fanogan\US10Y_BOND_COVID200_daily\out_put_four_gaf_fanogan\comparison_summary.csv
f-AnoGAN standalone,US10Y,US Treasury yield 10 year,arctan,0.7,0.0,0.0,0.0,0.2797557172557173,,,,,200,52,148,0.0411050349473953,D:\tadgan_gaf\gaf\githup_exchange_ring\output\03_bond_anomaly\bond_3m_1y_5y_10y_20y_compare_e20_daily\standalone_fanogan\US10Y_BOND_COVID200_daily\out_put_four_gaf_fanogan\comparison_summary.csv
Hybrid TadGAN-GAF-f-AnoGAN,US10Y,US Treasury yield 10 year,cosine,0.8,0.0,0.0,0.0,0.4574335548172757,0.0,12.0,160.0,28.0,200,28,172,0.2014204956591129,D:\tadgan_gaf\gaf\githup_exchange_ring\output\03_bond_anomaly\bond_3m_1y_5y_10y_20y_compare_e20_daily\hybrid\US10Y_BOND_COVID200_daily\hybrid_four_gaf_report.xlsx
