event,asset,method,n,prevalence,auc,average_precision,quantile,threshold_from,threshold,accuracy,precision,recall,f1,false_alarm_rate,alarm_rate
COVID-19,USOIL,omnianomaly,146,0.5,0.733909,0.80924,0.95,test,0.498775,0.554795,1.0,0.109589,0.197531,0.0,0.054795
COVID-19,USOIL,omnianomaly,146,0.5,0.733909,0.80924,0.975,control,0.423892,0.630137,0.952381,0.273973,0.425532,0.013699,0.143836
COVID-19,USOIL,omnianomaly,146,0.5,0.733909,0.80924,0.975,test,0.526821,0.527397,1.0,0.054795,0.103896,0.0,0.027397
COVID-19,USOIL,omnianomaly,146,0.5,0.733909,0.80924,0.99,control,0.500618,0.554795,1.0,0.109589,0.197531,0.0,0.054795
COVID-19,USOIL,omnianomaly,146,0.5,0.733909,0.80924,0.99,test,0.538031,0.513699,1.0,0.027397,0.053333,0.0,0.013699
COVID-19,USOIL,one_class_svm,146,0.5,0.510978,0.654455,0.7,control,0.260049,0.59589,0.9375,0.205479,0.337079,0.013699,0.109589
COVID-19,USOIL,one_class_svm,146,0.5,0.510978,0.654455,0.7,test,-0.33358,0.609589,0.681818,0.410959,0.512821,0.191781,0.30137
COVID-19,USOIL,one_class_svm,146,0.5,0.510978,0.654455,0.75,control,0.626498,0.547945,1.0,0.09589,0.175,0.0,0.047945
COVID-19,USOIL,one_class_svm,146,0.5,0.510978,0.654455,0.75,test,-0.243921,0.630137,0.756757,0.383562,0.509091,0.123288,0.253425
COVID-19,USOIL,one_class_svm,146,0.5,0.510978,0.654455,0.8,control,0.843333,0.527397,1.0,0.054795,0.103896,0.0,0.027397
COVID-19,USOIL,one_class_svm,146,0.5,0.510978,0.654455,0.8,test,-0.174096,0.630137,0.827586,0.328767,0.470588,0.068493,0.19863
COVID-19,USOIL,one_class_svm,146,0.5,0.510978,0.654455,0.85,control,1.472249,0.5,0.0,0.0,0.0,0.0,0.0
COVID-19,USOIL,one_class_svm,146,0.5,0.510978,0.654455,0.85,test,-0.039679,0.623288,0.909091,0.273973,0.421053,0.027397,0.150685
COVID-19,USOIL,one_class_svm,146,0.5,0.510978,0.654455,0.9,control,1.811588,0.5,0.0,0.0,0.0,0.0,0.0
COVID-19,USOIL,one_class_svm,146,0.5,0.510978,0.654455,0.9,test,0.285162,0.589041,0.933333,0.191781,0.318182,0.013699,0.10274
COVID-19,USOIL,one_class_svm,146,0.5,0.510978,0.654455,0.95,control,2.186269,0.5,0.0,0.0,0.0,0.0,0.0
COVID-19,USOIL,one_class_svm,146,0.5,0.510978,0.654455,0.95,test,0.591334,0.554795,1.0,0.109589,0.197531,0.0,0.054795
COVID-19,USOIL,one_class_svm,146,0.5,0.510978,0.654455,0.975,control,2.4634,0.5,0.0,0.0,0.0,0.0,0.0
COVID-19,USOIL,one_class_svm,146,0.5,0.510978,0.654455,0.975,test,0.841836,0.527397,1.0,0.054795,0.103896,0.0,0.027397
COVID-19,USOIL,one_class_svm,146,0.5,0.510978,0.654455,0.99,control,2.545489,0.5,0.0,0.0,0.0,0.0,0.0
COVID-19,USOIL,one_class_svm,146,0.5,0.510978,0.654455,0.99,test,1.111074,0.513699,1.0,0.027397,0.053333,0.0,0.013699
COVID-19,USOIL,standalone_fanogan,146,0.5,0.222931,0.355121,0.7,control,0.17614,0.356164,0.0,0.0,0.0,0.287671,0.143836
COVID-19,USOIL,standalone_fanogan,146,0.5,0.222931,0.355121,0.7,test,0.130298,0.267123,0.113636,0.068493,0.08547,0.534247,0.30137
COVID-19,USOIL,standalone_fanogan,146,0.5,0.222931,0.355121,0.75,control,0.207618,0.431507,0.0,0.0,0.0,0.136986,0.068493
COVID-19,USOIL,standalone_fanogan,146,0.5,0.222931,0.355121,0.75,test,0.142378,0.273973,0.054054,0.027397,0.036364,0.479452,0.253425
COVID-19,USOIL,standalone_fanogan,146,0.5,0.222931,0.355121,0.8,control,0.272424,0.493151,0.0,0.0,0.0,0.013699,0.006849
COVID-19,USOIL,standalone_fanogan,146,0.5,0.222931,0.355121,0.8,test,0.153658,0.30137,0.0,0.0,0.0,0.39726,0.19863
